id,property_type,room_type,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,has_availability,accommodates,bathrooms,bedrooms,beds,guests_included,extra_people
2015,Guesthouse,Entire home/apt,Real Bed,$60.00 ,$420.00 ,"$1,800.00 ",$200.00 ,$30.00 ,4,1125,t,3,1,1,2,1,28
2695,Apartment,Private room,Real Bed,$17.00 ,$119.00 ,$510.00 ,$0.00 ,$0.00 ,2,40,t,2,1,1,1,1,0
3176,Apartment,Entire home/apt,Real Bed,$90.00 ,$630.00 ,"$2,700.00 ",$200.00 ,$50.00 ,62,1125,t,4,1,1,2,2,20
3309,Apartment,Private room,Pull-out Sofa,$26.00 ,$182.00 ,$780.00 ,$250.00 ,$30.00 ,5,360,t,2,1,1,1,1,18
7071,Apartment,Private room,Real Bed,$42.00 ,$294.00 ,"$1,260.00 ",$0.00 ,$0.00 ,2,10,t,2,1,1,2,1,24
9991,Apartment,Entire home/apt,Real Bed,$180.00 ,"$1,260.00 ","$5,400.00 ",$400.00 ,$80.00 ,6,14,t,7,2.5,4,7,5,10
14325,Apartment,Entire home/apt,Real Bed,$70.00 ,$490.00 ,"$2,100.00 ",$500.00 ,$0.00 ,90,1125,t,2,1,0,1,1,0
16401,Apartment,Private room,Real Bed,$120.00 ,$840.00 ,"$3,600.00 ",,,30,52,t,2,1,1,2,1,13
16644,Apartment,Entire home/apt,Real Bed,$90.00 ,$630.00 ,"$2,700.00 ",$500.00 ,$50.00 ,60,365,t,5,1,1,3,2,20
17409,Condominium,Private room,Real Bed,$45.00 ,$315.00 ,"$1,350.00 ",$0.00 ,$18.00 ,3,30,t,2,1,1,1,1,26
17904,Apartment,Entire home/apt,Real Bed,$49.00 ,$343.00 ,"$1,470.00 ",$0.00 ,$50.00 ,5,90,t,2,1,,1,1,15
20858,Loft,Entire home/apt,Real Bed,$129.00 ,$903.00 ,"$3,870.00 ",$500.00 ,$49.00 ,3,30,t,4,1,2,2,2,24
21869,Apartment,Entire home/apt,Real Bed,$70.00 ,$490.00 ,"$2,100.00 ",$500.00 ,$40.00 ,60,365,t,4,1,1,2,2,18
22415,Apartment,Entire home/apt,Real Bed,$98.00 ,$686.00 ,"$2,940.00 ",$300.00 ,$50.00 ,3,30,t,4,1,2,2,2,25
22677,Apartment,Entire home/apt,Real Bed,$160.00 ,"$1,120.00 ","$4,800.00 ",$150.00 ,$40.00 ,3,24,t,5,1,1,4,4,35
23834,Condominium,Entire home/apt,Real Bed,$65.00 ,$455.00 ,"$1,950.00 ",$500.00 ,$50.00 ,60,180,t,4,1,1,4,1,0
24569,Apartment,Entire home/apt,Real Bed,$90.00 ,$630.00 ,"$2,700.00 ",$200.00 ,$35.00 ,3,21,t,4,2.5,2,2,2,5
25653,Apartment,Entire home/apt,Real Bed,$90.00 ,$630.00 ,"$2,700.00 ",$200.00 ,$55.00 ,4,21,t,4,2.5,2,2,2,5
26543,Apartment,Entire home/apt,Real Bed,$197.00 ,"$1,379.00 ","$5,910.00 ",$250.00 ,$50.00 ,3,1125,t,8,2,2,8,4,40
28156,Apartment,Entire home/apt,Real Bed,$70.00 ,$490.00 ,"$2,100.00 ","$1,660.00 ",,90,1125,t,2,1,0,1,1,0
28268,Apartment,Entire home/apt,Real Bed,$90.00 ,$630.00 ,"$2,700.00 ",$200.00 ,$50.00 ,5,1125,t,6,1,2,4,4,20
28711,Apartment,Entire home/apt,Real Bed,$60.00 ,$420.00 ,"$1,800.00 ",,$30.00 ,2,730,t,3,,1,,2,10
29279,Apartment,Entire home/apt,Real Bed,$130.00 ,$910.00 ,"$3,900.00 ","$1,500.00 ",$80.00 ,60,365,t,4,1,2,3,2,0
30295,Apartment,Entire home/apt,Real Bed,$100.00 ,$700.00 ,"$3,000.00 ",,$40.00 ,4,365,t,8,1,2,4,4,20
31440,Apartment,Private room,Real Bed,$44.00 ,$308.00 ,"$1,320.00 ",$100.00 ,$15.00 ,1,14,t,1,1,1,1,1,15
33043,Apartment,Entire home/apt,Real Bed,$62.00 ,$434.00 ,"$1,860.00 ",$0.00 ,$20.00 ,3,1125,t,4,1,1,2,2,8
35642,Apartment,Entire home/apt,Real Bed,$55.00 ,$385.00 ,"$1,650.00 ","$1,000.00 ",$50.00 ,60,75,t,2,1,1,1,1,10
36480,Apartment,Private room,Real Bed,$40.00 ,$280.00 ,"$1,200.00 ",$500.00 ,$5.00 ,1,21,t,1,0,1,1,1,20
37004,Apartment,Private room,Real Bed,$25.00 ,$175.00 ,$750.00 ,$0.00 ,$0.00 ,5,60,t,1,1,1,1,1,15
37052,Apartment,Entire home/apt,Real Bed,$52.00 ,$364.00 ,"$1,560.00 ",$100.00 ,$30.00 ,2,1125,t,2,1,1,2,1,12
37836,Apartment,Private room,Real Bed,$39.00 ,$273.00 ,"$1,170.00 ",,$20.00 ,1,21,t,3,1.5,1,1,1,19
38074,Apartment,Entire home/apt,Real Bed,$80.00 ,$560.00 ,"$2,400.00 ",$500.00 ,,84,1125,t,2,1,1,1,2,0
38296,Apartment,Entire home/apt,Real Bed,$80.00 ,$560.00 ,"$2,400.00 ",$500.00 ,$35.00 ,10,20,t,2,1,1,2,2,0
40600,Loft,Private room,Real Bed,$50.00 ,$350.00 ,"$1,500.00 ",$100.00 ,,3,14,t,2,1,1,1,1,15
41217,Apartment,Private room,Real Bed,$43.00 ,$301.00 ,"$1,290.00 ",,,2,7,t,2,1,1,1,1,13
41306,Apartment,Private room,Real Bed,$40.00 ,$280.00 ,"$1,200.00 ",,,1,7,t,2,1,1,1,1,0
42742,Apartment,Private room,Real Bed,$36.00 ,$252.00 ,"$1,080.00 ",,$20.00 ,1,730,t,3,1.5,1,1,1,19
42809,Apartment,Entire home/apt,Real Bed,$119.00 ,$833.00 ,"$3,570.00 ",,$45.00 ,4,365,t,4,1,2,3,2,10
43123,Apartment,Entire home/apt,Real Bed,$90.00 ,$630.00 ,"$2,700.00 ",$300.00 ,$50.00 ,5,360,t,4,1,1,1,2,20
44083,Apartment,Private room,Pull-out Sofa,$42.00 ,$294.00 ,"$1,260.00 ","$1,000.00 ",$20.00 ,3,30,t,2,1,1,1,2,10
44423,Apartment,Private room,Real Bed,$56.00 ,$392.00 ,"$1,680.00 ",$300.00 ,$25.00 ,2,100,t,2,1,1,1,1,10
46161,Apartment,Private room,Real Bed,$50.00 ,$350.00 ,"$1,500.00 ",,,4,730,t,2,1,1,1,1,10
46172,Loft,Entire home/apt,Real Bed,$48.00 ,$336.00 ,"$1,440.00 ",$500.00 ,$50.00 ,60,600,t,2,1,1,2,1,0
47938,Apartment,Entire home/apt,Real Bed,$160.00 ,"$1,120.00 ","$4,800.00 ",,$50.00 ,3,60,t,6,2,2,3,1,0
