country,city,neighbourhood_group_cleansed,neighbourhood_cleansed,id
Germany,Berlin,Mitte,Brunnenstr. Süd,2015
Germany,Berlin,Pankow,Prenzlauer Berg Nordwest,2695
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,3176
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Nord,3309
Germany,Berlin,Pankow,Helmholtzplatz,7071
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,9991
Germany,Berlin,Pankow,Prenzlauer Berg Nordwest,14325
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,16401
Germany,Berlin,Friedrichshain-Kreuzberg,nördliche Luisenstadt,16644
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,17409
Germany,Berlin,Neukölln,Reuterstraße,17904
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,20858
Germany,Berlin,Friedrichshain-Kreuzberg,nördliche Luisenstadt,21869
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,22415
Germany,Berlin,Mitte,Brunnenstr. Süd,22677
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,23834
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,24569
Germany,Berlin,Pankow,Prenzlauer Berg Süd,25653
Germany,Berlin,Pankow,Helmholtzplatz,26543
Germany,Berlin,Pankow,Prenzlauer Berg Nordwest,28156
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,28268
Germany,Berlin,Neukölln,Reuterstraße,28711
Germany,Berlin,Pankow,Helmholtzplatz,29279
Germany,Berlin,Pankow,Helmholtzplatz,30295
Germany,Berlin,Pankow,Helmholtzplatz,31440
Germany,Berlin,Mitte,Moabit Ost,33043
Germany,Berlin,Pankow,Prenzlauer Berg Nord,35642
Germany,Berlin,Charlottenburg-Wilm.,Otto-Suhr-Allee,36480
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Nord,37004
Germany,Berlin,Mitte,Brunnenstr. Süd,37052
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,37836
Germany,Berlin,Pankow,Prenzlauer Berg Süd,38074
Germany,Berlin,Neukölln,Schillerpromenade,38296
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,40600
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,41217
Germany,Berlin,Pankow,Prenzlauer Berg Süd,41306
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,42742
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,42809
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,43123
Germany,Berlin,Treptow - Köpenick,Alt  Treptow,44083
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,44423
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,46161
Germany,Berlin,Mitte,Brunnenstr. Süd,46172
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,47938
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,48955
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52734
Germany,Berlin,Mitte,Alexanderplatz,54952
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Nord,55298
Germany,Berlin,Mitte,Alexanderplatz,55455
Germany,Berlin,Charlottenburg-Wilm.,Neue Kantstraße,55853
Germany,Berlin,Pankow,Prenzlauer Berg Nordwest,57049
Germany,Berlin,Mitte,Brunnenstr. Süd,57209
Germany,Berlin,Steglitz - Zehlendorf,Ostpreußendamm,57792
Germany,Berlin,Mitte,Alexanderplatz,58041
Germany,Berlin,Pankow,Prenzlauer Berg Süd,58780
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,59249
Germany,Berlin,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,60161
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,63052
Germany,Berlin,Friedrichshain-Kreuzberg,nördliche Luisenstadt,63468
Germany,Berlin,Pankow,Prenzlauer Berg Nordwest,64245
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,64590
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,68142
Germany,Berlin,Pankow,Prenzlauer Berg Nord,68448
Germany,Berlin,Charlottenburg-Wilm.,Kantstraße,72079
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Nord,73302
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,74614
Germany,Berlin,Charlottenburg-Wilm.,Schmargendorf,80843
Germany,Berlin,Mitte,Regierungsviertel,81049
Germany,Berlin,Pankow,Prenzlauer Berg Nord,81081
Germany,Berlin,Mitte,Brunnenstr. Süd,82893
Germany,Berlin,Pankow,Prenzlauer Berg Süd,83183
Germany,Berlin,Pankow,Helmholtzplatz,83568
Germany,Berlin,Pankow,Helmholtzplatz,83614
Germany,Berlin,Mitte,Brunnenstr. Süd,85560
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,86514
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,87549
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,89102
Germany,Berlin,Neukölln,Reuterstraße,91290
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,102882
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,106290
Germany,Berlin,Pankow,Prenzlauer Berg Süd,106331
Germany,Schöneberg,Tempelhof - Schöneberg,Schöneberg-Nord,107968
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,109658
Germany,Berlin,Mitte,Alexanderplatz,111579
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Süd,114763
Germany,Berlin,Pankow,Blankenfelde/Niederschönhausen,115576
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,116832
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,117649
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,121888
Germany,Berlin,Treptow - Köpenick,Friedrichshagen,125349
Germany,Berlin,Mitte,Alexanderplatz,127708
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,128827
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Nord,135097
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,138955
Germany,Berlin,Mitte,Alexanderplatz,139769
Germany,Berlin,Neukölln,Schillerpromenade,143605
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,145249
Germany,Berlin,Pankow,Prenzlauer Berg Nordwest,147946
Germany,Berlin,Mitte,Alexanderplatz,149849
Germany,Berlin,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,151249
Germany,Berlin,Pankow,Helmholtzplatz,153015
Germany,Berlin,Pankow,Prenzlauer Berg Nord,155048
Germany,Berlin,Mitte,Alexanderplatz,156010
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,157546
Germany,Berlin,Mitte,Moabit West,157839
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,158890
Germany,Berlin,Charlottenburg-Wilm.,Wiesbadener Straße,159454
Germany,Berlin,Reinickendorf,West 3,160517
Germany,Berlin,Pankow,Helmholtzplatz,161425
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,163287
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,163411
Germany,Berlin (Kreuzberg),Friedrichshain-Kreuzberg,nördliche Luisenstadt,167189
Germany,Berlin,Pankow,Blankenburg/Heinersdorf/Märchenland,168615
Germany,Berlin,Lichtenberg,Rummelsburger Bucht,169603
Germany,Berlin,Tempelhof - Schöneberg,Friedenau,169907
Germany,Berlin,Charlottenburg-Wilm.,Wiesbadener Straße,170582
Germany,Berlin,Mitte,Brunnenstr. Nord,170652
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,170974
Germany,Berlin,Pankow,Helmholtzplatz,171746
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,173153
Germany,Berlin,Mitte,Alexanderplatz,174391
Germany,Berlin,Mitte,Alexanderplatz,174547
Germany,Berlin,Mitte,Alexanderplatz,174560
Germany,Berlin,Mitte,Alexanderplatz,174576
Germany,Berlin,Mitte,Alexanderplatz,174579
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Süd,175667
Germany,Berlin,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,176342
Germany,Berlin,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,176355
Germany,Berlin,Reinickendorf,Ost 2,176396
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,176852
Germany,Berlin,Charlottenburg-Wilm.,Volkspark Wilmersdorf,177486
Germany,Berlin,Neukölln,Reuterstraße,178347
Germany,Berlin,Pankow,Pankow Zentrum,179102
Germany,Berlin,Charlottenburg-Wilm.,Neue Kantstraße,180440
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,181160
Germany,Berlin,Mitte,Alexanderplatz,183206
Germany,Berlin,Pankow,Pankow Süd,183918
Germany,Berlin,Charlottenburg-Wilm.,Neue Kantstraße,183988
Germany,Berlin,Pankow,Helmholtzplatz,183996
Germany,Berlin,Neukölln,Reuterstraße,185960
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Nord,186851
Germany,Berlin,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,186908
Germany,Berlin,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,186999
Germany,Berlin,Mitte,Osloer Straße,187206
Germany,Berlin,Steglitz - Zehlendorf,Drakestr.,187326
Germany,Berlin,Reinickendorf,West 1,188565
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,188922
Germany,Berlin,Pankow,Prenzlauer Berg Ost,189288
Germany,Berlin,Mitte,Brunnenstr. Süd,189596
Germany,Berlin,Neukölln,Buckow Nord,190448
Germany,Berlin,Mitte,Alexanderplatz,191023
Germany,Berlin,Pankow,Pankow Süd,192050
Germany,Berlin,Mitte,Brunnenstr. Süd,192052
Germany,Berlin,Mitte,Brunnenstr. Süd,192103
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,192499
Germany,Berlin,Mitte,Alexanderplatz,193625
Germany,Berlin,Lichtenberg,Karlshorst,194374
Germany,Berlin,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,194465
Germany,Berlin,Mitte,Alexanderplatz,194546
Germany,Berlin,Lichtenberg,Alt-Lichtenberg,194694
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,195467
Germany,Berlin,Mitte,Brunnenstr. Süd,196149
